strings,first,second,fourth,fifth
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,74.5401,250.3467,1338.854,790.0971
cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1198.3365,830.2721,779.076,1676.6634
turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,651.0523,1031.9702,832.0395,790.6637
eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,1984.391,127.8542,1092.4616,364.1107
lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,1314.857,26.7129,1759.0532,819.3873
natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,338.6047,127.3827,763.7613,160.9025
nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,943.747,1902.6223,860.8605,1002.1684
mattis nibh ligula nec sem duis aliquam convallis nunc proin,1731.897,465.5266,1885.7309,455.3474
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,507.1699,826.6133,271.0023,1696.9849
nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,1337.8146,1371.9449,600.4511,1377.2129
vel augue vestibulum ante ipsum primis in faucibus orci luctus,1914.4653,1884.6142,1404.7325,900.69
pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1556.0375,1572.9402,1935.4518,1144.93
lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,1813.4443,997.4149,1105.7954,472.8441
nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,748.6537,1508.2886,1198.9807,549.1734
nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,860.7172,1126.2229,1398.7122,1601.5934
lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,374.015,1763.7502,79.4529,1576.7875
mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,1474.2775,556.8005,1514.8606,1722.826
felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,1176.8848,271.0879,826.3695,1940.6508
tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,1627.3269,1594.9358,1916.7346,704.7247
rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit,357.9248,914.7815,1502.1465,1755.1027
luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,1921.1279,754.1545,371.8321,1468.0809
in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,1884.5441,937.145,1739.367,639.2644
quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,1370.1155,1715.6109,1417.9692,517.6732
sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,1350.6049,1518.343,338.3254,464.699
mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,1522.187,1324.1202,1388.3244,1469.5142
praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,175.9981,1133.6015,1974.6792,1115.3091
